clip_id,scene_name,scene_desc,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_onset,source_1_offset,source_1_caption,source_2_role,source_2_type,source_2_onset,source_2_offset,source_2_caption,source_3_role,source_3_type,source_3_onset,source_3_offset,source_3_caption,audio_natural,caption_accurate,notes
rv4_0048,concert_outdoor,Outdoor concert,audio/rv4_0048.wav,10.2,3,music,music,1.5s,10.2s,electronic game background music,sfx,sfx,5.1s,10.1s,"A distorted, high-pitched laugh fills the audio, sounding artificial and processed, as if from a cartoon villain or video game character, with no back",ambience,sfx,3.7s,8.7s,"The train stops and then moves away again, creating the sound.",,,
rv4_0017,concert_outdoor,Outdoor concert,audio/rv4_0017.wav,8.5,3,music,music,1.3s,8.5s,electronic game background music,sfx,sfx,1.1s,6.1s,"A small, acoustically dry environment hosts rapid, sharp impacts—each one a forceful tap—produced by an unseen object, possibly a hand or hard impleme",ambience,sfx,0.5s,5.5s,"A low-frequency hum persists throughout the entire clip, resonating steadily within an enclosed space, accompanied by a brief high-pitched electronic ",,,
rv4_0111,concert_outdoor,Outdoor concert,audio/rv4_0111.wav,10.2,3,music,music,2.8s,10.2s,electronic game background music,sfx,sfx,0.2s,5.2s,"The audio clip is classified as an indoor acoustic recording of sound effects featuring cheering sounds, captured in a studio with moderate loudness a",ambience,sfx,1.7s,6.7s,"The audio captures the idling rumble of a large diesel engine within a confined mechanical space, as suggested by the reverberant, low-frequency noise",,,
rv4_0103,speech_with_sfx,Someone talking with sound effects,audio/rv4_0103.wav,10.6,2,speech,speech,0.4s,5.7s,English speech,sfx,sfx,3.5s,8.5s,"This is a concise five-second sound effect capturing the rapid, rhythmic clicking of a mechanical keyboard in use. The recording is monophonic, with a",,,,,,,,
rv4_0091,concert_outdoor,Outdoor concert,audio/rv4_0091.wav,10.2,3,music,music,3.0s,10.2s,electronic game background music,sfx,sfx,5.0s,10.0s,"A baby makes high-pitched, continuous giggling in an enclosed indoor space with minimal background noise, the laughter lasting nearly five seconds and",ambience,sfx,0.6s,5.6s,"An intense electronic soundtrack plays throughout, characterized by a sustained high-pitched synth effect with a rising pitch and intense dynamic, typ",,,
rv4_0054,speech_with_music,Someone talking with background music,audio/rv4_0054.wav,8.9,2,speech,speech,1.9s,6.4s,English speech,music,music,2.4s,8.9s,electronic game background music,,,,,,,,
rv4_0140,concert_outdoor,Outdoor concert,audio/rv4_0140.wav,8.0,3,music,music,0.7s,8.0s,electronic game background music,sfx,sfx,2.9s,7.9s,"A woman bursts into unrestrained, high-pitched laughter recorded in a quiet indoor environment with close-mic proximity, capturing sharp inhalations a",ambience,sfx,2.0s,7.0s,"This is a short piece of experimental ambient electronic music lasting 5 seconds, which includes ocean and instrumental elements.",,,
rv4_0022,speech_with_music,Someone talking with background music,audio/rv4_0022.wav,8.0,2,speech,speech,0.2s,4.2s,Korean speech,music,music,2.1s,8.0s,electronic game background music,,,,,,,,
rv4_0129,speech_with_sfx,Someone talking with sound effects,audio/rv4_0129.wav,10.5,2,speech,speech,4.1s,9.4s,English speech,sfx,sfx,2.5s,7.5s,"This is a 5.0-second monophonic digital recording of exceptional fidelity, capturing a rapid, sharp series of high-frequency transients with precise c",,,,,,,,
rv4_0186,concert_outdoor,Outdoor concert,audio/rv4_0186.wav,8.2,3,music,music,1.4s,8.2s,electronic game background music,sfx,sfx,0.3s,5.3s,"A crowd applauds loudly, their clapped hands creating sharp high-frequency bursts, as indistinct voices murmur in the background. Suddenly, a male voi",ambience,sfx,2.9s,7.9s,"A large diesel-powered vehicle, likely a truck or bus, is moving steadily along a hard surface, creating a continuous low-frequency rumble accompanied",,,
