clip_id,scene_name,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_onset,source_1_offset,source_1_caption,source_2_role,source_2_type,source_2_onset,source_2_offset,source_2_caption,source_3_role,source_3_type,source_3_onset,source_3_offset,source_3_caption,audio_natural,caption_accurate,notes
rv8_0373,coffee_shop,audio/rv8_0373.wav,11.8,3,music,music,2.4s,11.8s,"This is a concise hip-hop track of just 11.7 seconds, with a fast-paced beat at approximately 171 BP",sfx,sfx,1.1s,1.7s,"A sharp snap from a glass bottle opening occurs in an otherwise silent indoor environment, producing",sfx,sfx,1.7s,6.5s,You were not given enough information to create an accurate audio description.,,,
rv8_0664,speech_with_music,audio/rv8_0664.wav,9.4,2,speech,speech,0.4s,5.1s,A cinematic and dramatic audio sequence begins with a single phrase of Korean speech delivered by a ,music,music,3.8s,9.4s,"An instrumental rock track with electric guitar, bass, and drums in a studio setting.",,,,,,,,
rv8_0504,speech_with_sfx,audio/rv8_0504.wav,11.4,2,speech,speech,4.9s,9.9s,"A middle-aged, male voice with a low, gravelly pitch delivers the phrase ""I just fucking destroyed t",sfx,sfx,5.9s,10.9s,"A pair of rapid knocks, produced by a knuckle striking a hollow wooden door, interrupts the otherwis",,,,,,,,
rv8_0806,speech_with_sfx,audio/rv8_0806.wav,9.6,2,speech,speech,3.7s,8.4s,"A cinematic orchestral swell builds momentum in a reverberant audio environment, establishing a dram",sfx,sfx,0.4s,5.4s,"A large group of people applauds in an acoustically live space, producing a wide, immersive stereo i",,,,,,,,
rv8_0162,speech_with_music,audio/rv8_0162.wav,11.7,2,speech,speech,5.0s,10.8s,A high-quality studio recording captures a male speaker calmly delivering a motivational Korean phra,music,music,5.5s,11.7s,"A lively classical guitar performance unfolds from the start to the end of the clip, playing at a fa",,,,,,,,
rv8_0907,speech_with_music,audio/rv8_0907.wav,8.9,2,speech,speech,2.8s,7.1s,"The audio captures an indoor scene with hard surfaces, beginning with a long exhale that ends in a s",music,music,4.0s,8.9s,"A lively Italian folk-style performance with accordion and acoustic guitar, featuring a warm, male v",,,,,,,,
rv8_0459,restaurant_busy,audio/rv8_0459.wav,9.8,3,ambience,sfx,3.3s,8.2s,"A car traveling at high speed passes by with intense engine roar and rushing air, creating an abrupt",sfx,sfx,3.0s,7.5s,"A woman lets out bursts of giddy laughter in a quiet, acoustically dry indoor space, with no backgro",music,music,4.7s,9.8s,"A plucky, playful melody is accompanied by the rhythmic rumble of a string instrument.",,,
rv8_0972,speech_with_music,audio/rv8_0972.wav,8.0,2,speech,speech,2.8s,6.8s,"A high-energy electronic composition unfolds with a relentless, pulsating rhythm, constructed from l",music,music,2.0s,8.0s,A male vocalist sings a mellow and melodic phrase for approximately one second while an acoustic gui,,,,,,,,
rv8_0456,coffee_shop,audio/rv8_0456.wav,9.0,3,music,music,4.0s,9.0s,"A steady rhythm, carried by snare, bass, and tenor saxophone, plays in a lively swing style, with a ",sfx,sfx,0.5s,5.5s,"A big, long steam machine steams a lot of water at one time, with its loud steam hissing strongly to",sfx,sfx,2.5s,6.1s,A short recording captured in a quiet environment.,,,
rv8_0840,speech_with_music,audio/rv8_0840.wav,9.2,2,speech,speech,1.7s,6.2s,"A sharp metallic click initiates the recording, followed by an indistinct sigh, a deep exhalation, a",music,music,4.2s,9.2s,"A soulful female vocal is placed in a controlled studio setting, drenched in pronounced artificial r",,,,,,,,
