clip_id,audio_path,duration,scene_name,gt_n_events,gt_events,pred_n_events,pred_events,pred_format_ok,match,errors,notes
rv6_0181,audio/rv6_0181.wav,8.022078868334596,park_afternoon,3,"sfx [1.6-6.6] A nocturnal outdoor soundscape is domina | sfx [2.9-7.9] ""Meow""-s sound like a cat trying to say  | sfx [0.8-5.8] A continuous, loud rush flows with full ",3,"sfx [0.8-5.8] A continuous, loud rush flows with full  | sfx [1.6-6.6] A nocturnal outdoor soundscape is domina | sfx [2.9-7.9] ""Meow""-s sound like a cat trying to say ",Y,correct,correct=3 halluc=0 omit=0,
rv6_0182,audio/rv6_0182.wav,11.676258935411559,speech_with_sfx,2,speech [1.9-7.7] A Korean male speaker delivers two short | sfx [4.3-9.3] A ceramic object crashes against an unyi,2,speech [1.9-7.7] A Korean male speaker delivers two short | sfx [4.3-9.3] A ceramic object crashes against an unyi,Y,correct,correct=2 halluc=0 omit=0,
rv6_0183,audio/rv6_0183.wav,8.629536744515903,park_afternoon,3,"sfx [0.2-5.2] A sudden, clear bird call—likely a woodp | sfx [3.1-7.1] A single, dog emits a continuous, rapid  | sfx [2.9-7.9] The audio captures the rhythmic, metalli",3,"sfx [0.2-5.2] A sudden, clear bird call—likely a woodp | sfx [2.9-7.9] The audio captures the rhythmic, metalli | sfx [3.1-7.1] A single, dog emits a continuous, rapid ",Y,correct,correct=3 halluc=0 omit=0,
rv6_0184,audio/rv6_0184.wav,9.027482864644506,speech_with_music,2,"speech [2.8-7.3] A male voice, speaking with intense aggr | music [0.9-9.0] The audio contains ambient background no",2,"music [0.9-9.0] The audio contains ambient background no | speech [2.8-7.3] A male voice, speaking with intense aggr",Y,correct,correct=2 halluc=0 omit=0,
rv6_0185,audio/rv6_0185.wav,8.818688982557505,street_traffic,3,"sfx [2.5-6.5] A brief, immersive audio captures the co | sfx [3.7-8.7] A siren slowly grows louder and reaches  | sfx [2.4-7.4] A person runs urgently through a narrow ",3,"sfx [2.4-7.4] A person runs urgently through a narrow  | sfx [2.5-6.5] A brief, immersive audio captures the co | sfx [3.7-8.7] A siren slowly grows louder and reaches ",Y,correct,correct=3 halluc=0 omit=0,
rv6_0186,audio/rv6_0186.wav,8.369963089931677,speech_with_music,2,speech [2.0-6.2] A Korean male voice solemnly concludes a | music [0.8-8.4] The audio features a single violin playi,2,music [0.8-8.4] The audio features a single violin playi | speech [2.0-6.2] A Korean male voice solemnly concludes a,Y,correct,correct=2 halluc=0 omit=0,
rv6_0187,audio/rv6_0187.wav,8.979822294266494,speech_with_sfx,2,"speech [2.2-6.7] A young male narrator with a calm, solem | sfx [1.5-6.5] A glass pane is shattered in an otherwis",2,"sfx [1.5-6.5] A glass pane is shattered in an otherwis | speech [2.2-6.7] A young male narrator with a calm, solem",Y,correct,correct=2 halluc=0 omit=0,
rv6_0188,audio/rv6_0188.wav,9.478933115900706,speech_with_music,2,speech [2.4-7.2] The recording captures a male voice decl | music [1.3-9.5] A tenor saxophone performs alone in a qu,2,music [1.3-9.5] A tenor saxophone performs alone in a qu | speech [2.4-7.2] The recording captures a male voice decl,Y,correct,correct=2 halluc=0 omit=0,
rv6_0189,audio/rv6_0189.wav,10.459855031037513,concert_outdoor,3,music [4.0-10.5] A ten-second snippet of a vintage swing  | sfx [2.3-6.3] A young child exclaims twice with gleefu | sfx [3.7-8.7] The low rumble gives way to the clear an,3,"sfx [2.3-7.3] A child is shouting in an indoor space w | sfx [3.0-8.0] A large truck passes by outside, creatin | music [3.9-10.4] A lively Jazz Benny Goodman style head-n",Y,mixed,correct=1 halluc=2 omit=2,
rv6_0190,audio/rv6_0190.wav,9.673383102291867,restaurant_busy,3,"sfx [0.3-5.3] The audio captures the full force of a p | sfx [0.0-5.0] A man lets out a deep, booming laugh in  | music [2.3-9.7] A solo harmonica delivery with blues-inf",3,"speech [0.0-5.4] A deep, menacing laugh abruptly cuts thr | sfx [1.5-6.5] A high-pressure water spray erupts with  | music [3.4-9.6] A lively Jazz Ensemble performs in a sop",Y,mixed,correct=0 halluc=3 omit=3,
rv6_0191,audio/rv6_0191.wav,11.190083920171542,park_afternoon,3,"sfx [0.3-5.3] The audio features birdsong recorded out | sfx [2.3-7.3] A cat meows twice in quick succession in | sfx [4.7-9.7] A train rolls down a slope, its wheels c",3,"sfx [0.3-5.3] The audio features birdsong recorded out | sfx [2.3-7.3] A cat meows twice in quick succession in | sfx [4.7-9.7] A train rolls down a slope, its wheels c",Y,correct,correct=3 halluc=0 omit=0,
